Q2 beta x xp*sigmaD(3) dstat dsys dtot
45.0 0.2 0.00200 0.0288 9.9 4.9 11.1
45.0 0.2 0.00320 0.0181 16.6 11.8 20.4
45.0 0.2 0.00500 0.0239 10.2 13.3 16.8
45.0 0.2 0.00800 0.0212 11.5 21.0 23.9
45.0 0.4 0.00080 0.0382 19.0 6.1 19.9
45.0 0.4 0.00130 0.0317 13.3 3.0 13.7
45.0 0.4 0.00200 0.0291 12.3 3.3 12.8
45.0 0.4 0.00320 0.0341 11.2 4.8 12.2
45.0 0.4 0.00500 0.0383 11.1 6.4 12.8
45.0 0.4 0.00800 0.0241 11.6 11.1 16.0
45.0 0.65 0.00080 0.0508 16.4 7.6 18.1
45.0 0.65 0.00130 0.0426 14.3 7.6 16.2
45.0 0.65 0.00200 0.0387 12.4 6.5 14.0
45.0 0.65 0.00320 0.0265 13.3 6.0 14.6
45.0 0.65 0.00500 0.0367 12.7 5.4 13.9
45.0 0.65 0.00800 0.0241 12.7 7.0 14.5
45.0 0.9 0.00130 0.0330 31.7 19.0 36.9
45.0 0.9 0.00200 0.0264 23.5 10.8 25.9
45.0 0.9 0.00320 0.0213 24.3 10.2 26.4
45.0 0.9 0.00500 0.0296 22.4 7.7 23.7
45.0 0.9 0.00800 0.0174 24.9 7.2 25.9
60.0 0.04 0.00130 0.0373 15.5 14.9 21.5
60.0 0.04 0.00200 0.0406 13.4 23.3 26.8
60.0 0.1 0.00130 0.0380 16.0 9.7 18.7
60.0 0.1 0.00200 0.0372 11.2 10.2 15.2
60.0 0.1 0.00320 0.0249 12.4 14.5 19.1
60.0 0.1 0.00500 0.0244 16.7 30.3 34.6
60.0 0.2 0.00130 0.0458 15.5 5.4 16.4
60.0 0.2 0.00200 0.0325 10.4 6.0 12.0
60.0 0.2 0.00320 0.0272 10.2 7.6 12.7
60.0 0.2 0.00500 0.0284 9.8 14.3 17.3
60.0 0.2 0.00800 0.0203 19.5 21.9 29.3
60.0 0.4 0.00130 0.0340 20.8 7.0 21.9
60.0 0.4 0.00200 0.0328 14.1 3.8 14.6
60.0 0.4 0.00320 0.0344 12.3 5.0 13.3
60.0 0.4 0.00500 0.0315 16.8 7.1 18.3
60.0 0.4 0.00800 0.0255 18.3 13.8 22.9
60.0 0.4 0.01300 0.0281 12.7 22.3 25.7
60.0 0.65 0.00130 0.0479 24.3 7.7 25.5
60.0 0.65 0.00200 0.0410 13.4 6.4 14.9
60.0 0.65 0.00320 0.0310 13.5 7.3 15.3
60.0 0.65 0.00500 0.0315 13.7 8.0 15.9
60.0 0.65 0.00800 0.0269 14.4 7.3 16.2
60.0 0.65 0.01300 0.0260 15.3 10.2 18.4
60.0 0.9 0.00130 0.0307 45.2 13.7 47.2
60.0 0.9 0.00200 0.0341 25.8 12.4 28.6
60.0 0.9 0.00320 0.0238 27.4 10.1 29.2
60.0 0.9 0.00500 0.0269 22.5 11.9 25.5
60.0 0.9 0.00800 0.0301 21.7 10.8 24.2
60.0 0.9 0.01300 0.0286 25.3 12.3 28.1
90.0 0.1 0.00200 0.0238 47.0 22.1 51.9
90.0 0.1 0.00320 0.0361 18.5 14.4 23.4
90.0 0.2 0.00200 0.0258 43.0 7.1 43.6
90.0 0.2 0.00320 0.0277 17.4 7.2 18.8
90.0 0.2 0.00500 0.0336 12.0 12.3 17.2
90.0 0.2 0.00800 0.0299 14.2 18.7 23.5
90.0 0.4 0.00200 0.0199 60.5 15.8 62.5
90.0 0.4 0.00320 0.0302 21.6 4.5 22.1
90.0 0.4 0.00500 0.0332 18.2 11.5 21.5
90.0 0.4 0.00800 0.0273 15.1 10.8 18.5
90.0 0.4 0.01300 0.0339 15.2 16.2 22.2
90.0 0.65 0.00200 0.0249 53.6 10.1 54.5
90.0 0.65 0.00320 0.0365 24.5 9.5 26.3
90.0 0.65 0.00500 0.0315 18.6 7.5 20.1
90.0 0.65 0.00800 0.0281 17.2 7.1 18.6
90.0 0.65 0.01300 0.0236 17.7 11.8 21.3
90.0 0.65 0.02000 0.0287 31.9 19.0 37.1
90.0 0.9 0.00320 0.0317 40.1 10.5 41.4
90.0 0.9 0.00500 0.0147 41.0 11.0 42.4
90.0 0.9 0.00800 0.0174 36.5 12.1 38.5
90.0 0.9 0.01300 0.0245 32.2 16.0 36.0
90.0 0.9 0.02000 0.0185 31.7 14.0 34.7
200.0 0.1 0.00320 0.0358 7.5 14.1 16.0
200.0 0.2 0.00320 0.0346 6.6 8.4 10.7
